name,sigma_add,sigma_hat,sigma_r_adaptive,psnr_noisy,ssim_noisy,psnr_Gaussian,ssim_Gaussian,psnr_Bilateral,ssim_Bilateral,psnr_Adaptive,ssim_Adaptive
NIND_droid_ISO800,5,5.106663372045137,76.59995058067706,34.140631926969846,0.8802697281121766,39.024184396088025,0.9612345726897825,33.642583662959986,0.8609895693885101,32.07344537218248,0.8073966563472186
NIND_droid_ISO800,10,10.13096120583148,151.9644180874722,28.131730867114246,0.6640372903955544,36.540278869086144,0.9308904431578596,33.24376401372918,0.8531374536090898,30.729054966419305,0.7507554275686461
NIND_droid_ISO800,15,15.072893501359033,226.0934025203855,24.613308799436293,0.4833270234774347,34.18801629402253,0.886003575135495,32.01278957928761,0.8104110062387493,30.352934592916828,0.7343793451386024
NIND_droid_ISO800,20,20.014825796886583,300.2223869532987,22.11542752482672,0.3552600815107501,32.177867861079626,0.831133345951056,29.527100802757637,0.6968400943305277,30.1228553028162,0.725349134667835
NIND_droid_ISO800,25,24.956758092414137,374.35137138621207,20.179137182760233,0.2669817999371709,30.48721976754793,0.7718764099715956,26.4899128730772,0.537523339582382,29.907623209740755,0.7176143270711618
NIND_droid_ISO800,30,29.898690387941688,448.4803558191253,18.60557012235222,0.20627895307986757,29.031126765247357,0.7113702459170222,23.645757770273686,0.3908343784772453,29.68613365228794,0.7101729001846402
NIND_droid_ISO800,40,39.78255497899679,596.7383246849519,16.164615647120193,0.13187158373395494,26.733736707118,0.5993923334648272,19.233760658566275,0.20711371311954788,29.195854288233424,0.6930490962184818
NIND_droid_ISO800,50,49.17222634049913,737.5833951074869,14.368173718054367,0.09151730794206209,24.98511589503902,0.5050813777370392,16.281139171788446,0.12384231372274017,28.660229393755017,0.6737987278648253
NIND_droid_ISO800,60,57.65587678115477,864.8381517173215,13.008646066462816,0.06807756767773247,23.63887214553778,0.43166807695008824,14.265605794295428,0.0837373489448312,28.08396040837527,0.6543186238564198
NIND_MuseeL-heads_ISO400,5,5.1890289103039295,77.83543365455894,34.17250370264036,0.8220149085638088,34.88892199945468,0.9331269253657438,35.092890804602284,0.9021720780157745,33.521454550468114,0.8790211151009671
NIND_MuseeL-heads_ISO400,10,9.966230129313894,149.49345193970842,28.22858931530388,0.5785725334480871,33.75226947576774,0.8884510804850664,34.49450217399486,0.894657379104109,31.13084703304644,0.8446092590313646
NIND_MuseeL-heads_ISO400,15,14.661065810065068,219.91598715097604,24.807586434961472,0.41863634732961114,32.35532630487657,0.8280017524481086,32.85316345200646,0.8390139859060989,29.844477229334316,0.8226245190394942
NIND_MuseeL-heads_ISO400,20,19.191170414298657,287.86755621447986,22.43047353535934,0.3188042065942071,30.9651948087263,0.7631029769066818,30.145200778540403,0.7050724723635512,29.063202620881313,0.806068874680792
NIND_MuseeL-heads_ISO400,25,23.47417840375587,352.11267605633805,20.624121312938478,0.2524562953071788,29.658280237637,0.7004720922198167,27.160387472469324,0.5424786576080215,28.479439492175686,0.7913390666713083
NIND_MuseeL-heads_ISO400,30,27.592455316695496,413.8868297504324,19.184563326809055,0.2061174571599499,28.46267156329198,0.6422055399737004,24.503211497596837,0.4065088777508743,27.98978378640049,0.7775570168759258
NIND_MuseeL-heads_ISO400,40,35.334815913022,530.02223869533,16.96743232817328,0.14682598997830268,26.38305609069487,0.542071588921874,20.413729115762717,0.23909018922396175,27.020735215196726,0.7503953736334991
NIND_MuseeL-heads_ISO400,50,42.50061774153695,637.5092661230542,15.29606782141008,0.11098049153314697,24.601294744502226,0.46173047192161326,17.593332216201055,0.15621341418599874,25.95589251895432,0.7221526827798012
NIND_MuseeL-heads_ISO400,60,49.089860802240345,736.3479120336052,13.966290412729961,0.08693372850540061,23.065886403448182,0.39718528550093707,15.567435510672965,0.11123246404427856,24.80498435638488,0.6937235076917846
