Cấu hình,PSNR (Nhẹ),PSNR (Trung bình),PSNR (Nặng),SSIM (Nhẹ),SSIM (Trung bình),SSIM (Nặng)
Full (Adaptive = Immerkær + Bilateral),37.31511602465628,33.433309260610194,30.83155214390359,0.9314740227911754,0.8848468310650128,0.8149733923210984
− Immerkær (b)  → Bilateral σ_r cố định,35.44042663627451,32.85088851504057,30.668339244157163,0.8995396177111429,0.8606558022057511,0.8062301195965631
− Range kernel (a) → σ_r = 1e6,31.142982448648826,28.791117885958737,28.338285918978873,0.8245620913259626,0.7550449917705159,0.7519791774573906
Baseline Gaussian,35.730196666013505,32.36276479146779,29.108094599487156,0.9138109091499693,0.8559763490333164,0.7269767689968472
