name,stratum,sigma_true,method,psnr,ssim,time
NIND_MuseeL-Armlessness_ISO800,light,4.899344113163869,Gaussian,32.57024441206133,0.93388265668414,0.0009024333333703302
NIND_MuseeL-Armlessness_ISO800,light,4.899344113163869,Bilateral,33.33522063567096,0.934350826895899,0.03273956666665375
NIND_MuseeL-Armlessness_ISO800,light,4.899344113163869,Adaptive,35.08309810367868,0.9546579500057136,0.16393103333318018
NIND_MuseeL-head_ISO640,moderate,6.353869220124494,Gaussian,31.620249535928725,0.8536799064215085,0.0006928666666681238
NIND_MuseeL-head_ISO640,moderate,6.353869220124494,Bilateral,31.434925403346696,0.8101495214457545,0.032778333333529495
NIND_MuseeL-head_ISO640,moderate,6.353869220124494,Adaptive,32.879083484656775,0.8707883379869431,0.16714363333327734
NIND_MuseeL-heads_ISO400,light,3.737572500208212,Gaussian,34.373929782438935,0.9158102814614432,0.000670300000062222
NIND_MuseeL-heads_ISO400,light,3.737572500208212,Bilateral,34.73158277037423,0.8940658587509734,0.032773399999920606
NIND_MuseeL-heads_ISO400,light,3.737572500208212,Adaptive,37.61518850215759,0.9360500329499994,0.16317190000002788
NIND_MuseeL-turtle_ISO800,light,4.6646093279738645,Gaussian,37.20175658311443,0.902906758691009,0.0006926333333770648
NIND_MuseeL-turtle_ISO800,light,4.6646093279738645,Bilateral,36.775585205298455,0.896119306880502,0.03271779999992456
NIND_MuseeL-turtle_ISO800,light,4.6646093279738645,Adaptive,37.8758531591961,0.9153787765720326,0.171355633333557
NIND_Ottignies_ISO640,light,4.464706113523179,Gaussian,36.99697356406166,0.9062411047870681,0.0006726666665599623
NIND_Ottignies_ISO640,light,4.464706113523179,Bilateral,38.045946519761905,0.9270056139299087,0.033218666666774276
NIND_Ottignies_ISO640,light,4.464706113523179,Adaptive,38.579962191748926,0.9272802759304755,0.16060516666660382
NIND_droid_ISO800,light,3.7225341495243423,Gaussian,37.16150037168613,0.945829356681283,0.0006216000000070684
NIND_droid_ISO800,light,3.7225341495243423,Bilateral,33.28698925298425,0.8530214568791252,0.03208506666669564
NIND_droid_ISO800,light,3.7225341495243423,Adaptive,37.663074397313906,0.9516826874364456,0.1650267666665665
NIND_MuseeL-Armlessness_ISO2000,moderate,6.4658507639286915,Gaussian,31.83357089492517,0.916669682625107,0.0006722333332618291
NIND_MuseeL-Armlessness_ISO2000,moderate,6.4658507639286915,Bilateral,32.73277724005435,0.9285461229456002,0.03194986666676414
NIND_MuseeL-Armlessness_ISO2000,moderate,6.4658507639286915,Adaptive,33.505429938574494,0.9398004142083924,0.16956056666670824
NIND_MuseeL-head_ISO3200,heavy,11.1273635490181,Gaussian,29.233122996265276,0.769552821020861,0.0007280666667005183
NIND_MuseeL-head_ISO3200,heavy,11.1273635490181,Bilateral,30.06882051376855,0.7836919160760267,0.032147133333334445
NIND_MuseeL-head_ISO3200,heavy,11.1273635490181,Adaptive,30.08304290315934,0.7960171449677809,0.16196849999990567
NIND_MuseeL-heads_ISO3200,moderate,8.100003480879591,Gaussian,32.073053322847066,0.828412644318056,0.0006262666665861616
