sigma_add,sigma_hat,sigma_r_adaptive,psnr_noisy,ssim_noisy,psnr_Gaussian,ssim_Gaussian,psnr_Bilateral,ssim_Bilateral,psnr_Adaptive,ssim_Adaptive,gap_bilateral_gauss,gap_adaptive_gauss
5,5.147846141174533,77.217692117618,34.1565678148051,0.8511423183379927,36.956553197771356,0.9471807490277632,34.367737233781135,0.8815808237021423,32.7974499613253,0.8432088857240929,-2.5888159639902213,-4.159103236446057
10,10.048595667572688,150.72893501359033,28.18016009120906,0.6213049119218208,35.14627417242694,0.909670761821463,33.86913309386202,0.8738974163565993,30.929950999732874,0.7976823433000053,-1.2771410785649238,-4.216323172694068
15,14.86697965571205,223.00469483568077,24.71044761719888,0.4509816854035229,33.27167129944955,0.8570026637918018,32.43297651564704,0.8247124960724241,30.09870591112557,0.7785019320890483,-0.8386947838025094,-3.1729653883239806
20,19.60299810559262,294.04497158388926,22.27295053009303,0.3370321440524786,31.571531334902964,0.7971181614288689,29.83615079064902,0.7009562833470395,29.593028961848756,0.7657090046743136,-1.7353805442539425,-1.9785023730542086
25,24.215468248085003,363.232023721275,20.401629247849357,0.25971904762217485,30.072750002592464,0.7361742510957061,26.825150172773263,0.5400009985952017,29.19353135095822,0.7544766968712351,-3.247599829819201,-0.8792186516342433
30,28.745572852318592,431.18359278477885,18.895066724580637,0.20619820511990872,28.74689916426967,0.6767878929453613,24.074484633935263,0.39867162811405976,28.837958719344215,0.743864958530283,-4.672414530334407,0.09105955507454411
40,37.55868544600939,563.3802816901409,16.566023987646737,0.1393487868561288,26.55839639890643,0.5707319611933506,19.823744887164494,0.2231019511717548,28.108294751715075,0.7217222349259904,-6.734651511741937,1.5498983528086434
50,45.83642204101804,687.5463306152706,14.832120769732224,0.10124889973760454,24.79320531977062,0.4834059248293262,16.93723569399475,0.14002786395436945,27.30806095635467,0.6979757053223132,-7.85596962577587,2.5148556365840484
60,53.372868791697556,800.5930318754633,13.487468239596389,0.07750564809156654,23.352379274492982,0.4144266812255126,14.916520652484197,0.09748490649455488,26.444472382380077,0.6740210657741021,-8.435858622008785,3.092093107887095
