sigma_add,gauss_sigma,bil_sigma_s,bil_sigma_r,psnr_noisy,ssim_noisy,psnr_Gaussian,ssim_Gaussian,psnr_Bilateral,ssim_Bilateral,psnr_Adaptive,ssim_Adaptive,gap_bilateral_gauss,gap_adaptive_gauss,gap_ssim_bilateral_gauss
5,0.5,2.0,20.0,34.1565678148051,0.8511423183379927,37.410162286893865,0.9246973198725519,38.52212526308678,0.9500673351715114,38.065574818135495,0.9452690169601333,1.1119629761929133,0.6554125312416303,0.025370015298959547
10,0.75,2.0,50.0,28.18016009120906,0.6213049119218208,34.96649110940532,0.8902568567573625,35.0150919787772,0.9013362368647508,35.00942430183316,0.9011695923645333,0.04860086937188157,0.04293319242783866,0.011079380107388292
15,1.0,2.0,75.0,24.71044761719888,0.4509816854035229,33.29005088928419,0.8591695243971937,33.355427744063604,0.8645211653473199,33.360901749612026,0.8641523040078747,0.0653768547794158,0.0708508603278375,0.005351640950126191
20,1.25,2.0,100.0,22.27295053009303,0.3370321440524786,32.02840461611335,0.8330771528850716,32.14309498809774,0.8296232485866781,32.1429304859342,0.8281676606781403,0.1146903719843877,0.11452586982085222,-0.0034539042983934287
25,1.25,2.0,150.0,20.401629247849357,0.25971904762217485,30.894652991292894,0.7900734165869496,31.161837549351755,0.806190703162165,31.073917921131443,0.7913107890241742,0.26718455805886165,0.17926492983854914,0.016117286575215384
30,1.5,2.0,200.0,18.895066724580637,0.20619820511990872,30.123051585590083,0.7749813532841265,30.314085747511214,0.7819785894803974,30.1213680260509,0.754421419115253,0.19103416192113087,-0.0016835595391846425,0.006997236196270906
40,2.0,2.0,300.0,16.566023987646737,0.1393487868561288,28.695718150668462,0.7417512743017114,28.8522787520638,0.7334349143433527,28.431889136474187,0.6819540160502444,0.15656060139533778,-0.2638290141942754,-0.008316359958358666
50,2.0,3.0,300.0,14.832120769732224,0.10124889973760454,27.540990517899775,0.6982893588509805,27.376020155524586,0.6793350416799866,26.95200837636122,0.6138619126458227,-0.1649703623751897,-0.5889821415385548,-0.01895431717099394
60,2.5,3.0,300.0,13.487468239596389,0.07750564809156654,26.481566587849947,0.6763412291058515,26.238634687268036,0.617202047677948,25.647887737398033,0.5528491231295933,-0.24293190058191172,-0.8336788504519141,-0.05913918142790353
