name,stratum,sigma_true,sigma_hat_mean,sigma_hat_mad,sigma_hat_on_clean
NIND_MuseeL-Armlessness_ISO800,light,4.899344113163869,1.9477337350768344,1.4002141503994732,1.070751997364303
NIND_MuseeL-head_ISO640,moderate,6.353869220124494,2.055198885765981,1.6473107651758505,1.4825796886582656
NIND_MuseeL-heads_ISO400,light,3.737572500208212,1.5078075343672819,1.070751997364303,0.9060209208467178
NIND_MuseeL-turtle_ISO800,light,4.6646093279738645,1.4379971141892358,1.2354830738818878,0.7412898443291326
NIND_Ottignies_ISO640,light,4.464706113523179,1.162550831603138,0.9060209208467178,0.5765587678115477
NIND_droid_ISO800,light,3.7225341495243423,0.8589441135126803,0.7412898443291326,0.6589243060703401
NIND_MuseeL-Armlessness_ISO2000,moderate,6.4658507639286915,2.503156392630705,1.9767729182110205,1.070751997364303
NIND_MuseeL-head_ISO3200,heavy,11.1273635490181,3.0025820286172533,2.5533316860225685,1.4825796886582656
NIND_MuseeL-heads_ISO3200,moderate,8.100003480879591,3.0259935833770997,2.553331686022568,0.9060209208467178
NIND_MuseeL-turtle_ISO1250,light,5.722961239773653,1.8437023350828212,1.6473107651758507,0.7412898443291326
NIND_Ottignies_ISO3200,moderate,9.575449108019932,2.7664563879338835,2.3062350712461908,0.5765587678115477
NIND_droid_ISO3200,moderate,6.529208244885517,1.4864100058164738,1.1531175356230954,0.6589243060703401
NIND_MuseeL-Armlessness_ISO6400,heavy,10.373724014809728,4.074397819671296,3.5417181451280784,1.070751997364303
NIND_MuseeL-head_ISO6400,heavy,15.41428647054897,4.246616392849114,3.706449221645664,1.4825796886582656
NIND_MuseeL-heads_ISO6400,heavy,11.82721306911746,4.287643144005379,3.7888147599044566,0.9060209208467178
NIND_MuseeL-turtle_ISO6400,heavy,13.650226001437213,4.625194123296893,4.283007989457212,0.7412898443291326
NIND_Ottignies_ISO6400,heavy,14.449841236392757,4.229114657084488,3.6240836833868713,0.5765587678115477
NIND_droid_ISO6400,moderate,8.921269086021754,1.692414648609418,1.4002141503994732,0.6589243060703401
