stratum,so_anh,sigma_true,psnr_noisy,psnr_gauss_s1,psnr_gauss_s2,ssim_noisy,ssim_gauss_s1,ssim_gauss_s2,delta_psnr_s1,delta_psnr_s2,delta_ssim_s1,delta_ssim_s2
light,6,4.5352879073611865,35.093414357317464,35.730196666013505,32.8927642419346,0.866326785528975,0.9138109091499693,0.8728275146543621,0.6367823086960414,-2.2006501153828637,0.0474841236209943,0.006500729125387128
moderate,6,7.657608317309997,30.550834216856128,32.3627647914678,30.386475266755568,0.7690090821436857,0.8559763490333162,0.817193959459166,1.8119305746116687,-0.16435895010056,0.08696726688963052,0.04818487731548027
heavy,6,12.80710905688737,26.02984786693061,29.108094599487156,29.093312701311266,0.5612684220513185,0.7269767689968472,0.7694374572568435,3.078246732556547,3.0634648343806568,0.1657083469455286,0.208169035205525
