stratum,info,psnr,psnr,psnr,ssim,ssim,ssim,time,time,time
,n_images,Gaussian,Bilateral,Adaptive,Gaussian,Bilateral,Adaptive,Gaussian,Bilateral,Adaptive
light,6,35.730196666013505,35.44042663627451,37.315116024656284,0.9138109091499693,0.8995396177111429,0.9314740227911754,0.0007084277778075273,0.03257859444445583,0.16479760555552678
moderate,6,32.3627647914678,32.85088851504057,33.433309260610194,0.8559763490333162,0.8606558022057511,0.8848468310650129,0.0006300888888846303,0.03305252777782799,0.16473093888880108
heavy,6,29.108094599487156,30.668339244157163,30.831552143903583,0.7269767689968472,0.8062301195965631,0.8149733923210986,0.0006605277777554067,0.032175744444480694,0.16431037222213893
