name,sigma_add,gauss_sigma,bil_sigma_s,bil_sigma_r,psnr_noisy,ssim_noisy,psnr_Gaussian,ssim_Gaussian,psnr_Bilateral,ssim_Bilateral,psnr_Adaptive,ssim_Adaptive
NIND_droid_ISO800,5,0.5,2,20,34.140631926969846,0.8802697281121766,37.6971155354103,0.9420932756446909,38.38571025818898,0.9526532420731133,37.994825426594076,0.9477040283036412
NIND_droid_ISO800,10,0.75,2,50,28.131730867114246,0.6640372903955544,35.734071769764746,0.9149479977984392,34.87812526312415,0.8984573204665725,34.8622133642439,0.8981136259613821
NIND_droid_ISO800,15,1.0,2,75,24.613308799436293,0.4833270234774347,34.24811845425332,0.887495775457539,33.364151410245114,0.8617153180488636,33.364085441588074,0.8617432518672805
NIND_droid_ISO800,20,1.25,2,100,22.11542752482672,0.3552600815107501,33.08414042023991,0.8602969944975508,32.295376092873624,0.8288630286772757,32.29611895698258,0.8288971941118993
NIND_droid_ISO800,25,1.25,2,150,20.179137182760233,0.2669817999371709,31.74223738090631,0.819933157299447,31.583741285283406,0.8066683041929666,31.367845796574045,0.795802578127399
NIND_droid_ISO800,30,1.5,2,200,18.60557012235222,0.20627895307986757,31.10309600245058,0.7993820846622847,30.927604843572475,0.784549981790508,30.511174273889182,0.7619401099690238
NIND_droid_ISO800,40,2.0,2,300,16.164615647120193,0.13187158373395494,29.910043895914736,0.7503778336651564,29.716604357412614,0.7390453233987347,28.980948003732045,0.6934666098401587
NIND_droid_ISO800,50,2.0,3,300,14.368173718054367,0.09151730794206209,28.86980726568874,0.7086650952853893,28.374358847805112,0.6486477018150792,27.649572996855714,0.6267603248929935
NIND_droid_ISO800,60,2.5,3,300,13.008646066462816,0.06807756767773247,28.179616614479993,0.6704935796474979,27.334964422562614,0.5847167668719851,26.513128887646957,0.5669069236281659
NIND_MuseeL-heads_ISO400,5,0.5,2,20,34.17250370264036,0.8220149085638088,37.123209038377425,0.9073013641004127,38.65854026798457,0.9474814282699094,38.136324209676914,0.9428340056166254
NIND_MuseeL-heads_ISO400,10,0.75,2,50,28.22858931530388,0.5785725334480871,34.19891044904589,0.8655657157162858,35.15205869443025,0.9042151532629292,35.156635239422414,0.9042255587676845
NIND_MuseeL-heads_ISO400,15,1.0,2,75,24.807586434961472,0.41863634732961114,32.33198332431505,0.8308432733368485,33.34670407788209,0.8673270126457764,33.35771805763598,0.8665613561484689
NIND_MuseeL-heads_ISO400,20,1.25,2,100,22.43047353535934,0.3188042065942071,30.972668811986782,0.8058573112725922,31.99081388332185,0.8303834684960805,31.989742014885813,0.8274381272443811
NIND_MuseeL-heads_ISO400,25,1.25,2,150,20.624121312938478,0.2524562953071788,30.04706860167948,0.7602136758744523,30.739933813420105,0.8057131021313634,30.77999004568884,0.7868189999209493
NIND_MuseeL-heads_ISO400,30,1.5,2,200,19.184563326809055,0.2061174571599499,29.143007168729582,0.7505806219059683,29.700566651449954,0.7794071971702868,29.731561778212615,0.7469027282614821
NIND_MuseeL-heads_ISO400,40,2.0,2,300,16.96743232817328,0.14682598997830268,27.48139240542219,0.7331247149382664,27.987953146714986,0.7278245052879706,27.882830269216328,0.6704414222603301
NIND_MuseeL-heads_ISO400,50,2.0,3,300,15.29606782141008,0.11098049153314697,26.212173770110812,0.6879136224165717,26.37768146324406,0.7100223815448938,26.254443755866728,0.6009635003986519
NIND_MuseeL-heads_ISO400,60,2.5,3,300,13.966290412729961,0.08693372850540061,24.783516561219898,0.682188878564205,25.142304951973458,0.6496873284839108,24.78264658714911,0.5387913226310208
