name,stratum,sigma_true,psnr_noisy,ssim_noisy,psnr_gauss_s1,ssim_gauss_s1,psnr_gauss_s2,ssim_gauss_s2
NIND_MuseeL-Armlessness_ISO800,light,4.899344113163869,34.328044550693036,0.9348766496242629,32.57024441206133,0.93388265668414,27.91137770129813,0.8589646460399957
NIND_MuseeL-head_ISO640,moderate,6.353869220124494,32.06681192727126,0.863977128298484,31.620249535928725,0.8536799064215085,28.549014641978594,0.7354497868171269
NIND_MuseeL-heads_ISO400,light,3.737572500208212,36.678744791226734,0.9075383027567412,34.373929782438935,0.9158102814614432,29.913106843551148,0.84863367984223
NIND_MuseeL-turtle_ISO800,light,4.6646093279738645,34.75264959505368,0.8231626064538853,37.20175658311443,0.902906758691009,36.04358309120922,0.8948597678025575
NIND_Ottignies_ISO640,light,4.464706113523179,35.1243091756137,0.8357462319429438,36.99697356406166,0.9062411047870681,35.28210357055249,0.9091248331944456
NIND_droid_ISO800,light,3.7225341495243423,36.70233738490491,0.9408525505513389,37.16150037168613,0.945829356681283,32.53836173857239,0.8378929253208071
NIND_MuseeL-Armlessness_ISO2000,moderate,6.4658507639286915,31.9174348994547,0.8865043808136291,31.83357089492517,0.916669682625107,27.79326337832113,0.8535020507425086
NIND_MuseeL-head_ISO3200,heavy,11.1273635490181,27.188182588808004,0.6930600598296458,29.233122996265276,0.769552821020861,27.97016886741657,0.7091632578167558
NIND_MuseeL-heads_ISO3200,moderate,8.100003480879591,29.957192894405186,0.6924872481346983,32.073053322847066,0.828412644318056,29.52112493291292,0.8225745837590647
NIND_MuseeL-turtle_ISO1250,light,5.722961239773653,32.974400646412704,0.7557843718446781,36.076775282718536,0.8781952965948725,35.668052506424225,0.8874892357261372
NIND_Ottignies_ISO3200,moderate,9.575449108019932,28.41864487348269,0.577878598406739,32.104816716309536,0.7781400018913356,33.20369324121232,0.8640028971898207
NIND_droid_ISO3200,moderate,6.529208244885517,31.823467522019996,0.8443874769429525,34.64674413618476,0.9104006998852427,32.176661626457,0.8295168192036814
NIND_MuseeL-Armlessness_ISO6400,heavy,10.373724014809728,27.80185671102197,0.7499453479502871,29.80666284400755,0.8558223227822027,27.32864341479506,0.8323670657685062
NIND_MuseeL-head_ISO6400,heavy,15.41428647054897,24.321120832508534,0.57348891224374,27.21861054104926,0.6941910931773855,27.192485784628886,0.679874457227953
NIND_MuseeL-heads_ISO6400,heavy,11.82721306911746,26.66301945496247,0.55868293916562,29.947022632429025,0.7397191248865848,28.954564336366243,0.7878570116731815
NIND_MuseeL-turtle_ISO6400,heavy,13.650226001437213,25.38717590821402,0.3685548360696582,29.696035068990838,0.6421013067289886,32.215223724130084,0.7983314897221084
NIND_Ottignies_ISO6400,heavy,14.449841236392757,24.81773170606867,0.4238784370489606,28.747113514180974,0.6604739453850607,30.898790080530766,0.8090314613325565
NIND_droid_ISO6400,moderate,8.921269086021754,29.12145318450293,0.7488196602656113,31.898154142611517,0.8485551590586479,31.075093779651457,0.7981176190427931
